appid;name;release_date;developer;publisher;platforms;categories;genres;positive_ratings;negative_ratings;average_playtime;median_playtime;owners;min_owners;max_owners;price
206250;Cladun X2 / クラシックダンジョンX2;14/08/2012;System Prisma;NIS America, Inc.;windows;Single-player;"Action;Indie;RPG";78;27;541;541;20000-50000;20000;50000;6.99
206370;Tales From Space: Mutant Blobs Attack;15/08/2012;DrinkBox Studios;DrinkBox Studios;"windows;mac;linux";"Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards";"Action;Indie";544;57;183;183;100000-200000;100000;200000;7.19
206410;Crazy Machines Elements;10/02/2012;Fakt Software;Viva Media;windows;Single-player;"Casual;Strategy";18;6;0;0;20000-50000;20000;50000;6.99
206420;Saints Row IV;22/08/2013;Deep Silver Volition;Deep Silver;"windows;linux";"Single-player;Co-op;Steam Achievements;Full controller support;Steam Trading Cards;Steam Workshop;Steam Cloud";"Action;Adventure";54091;4945;1279;1094;2000000-5000000;2000000;5000000;10.99
206440;To the Moon;07/09/2012;Freebird Games;Freebird Games;"windows;mac;linux";"Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud";"Adventure;Indie;RPG";42115;1423;200;233;1000000-2000000;1000000;2000000;6.99
206480;Dungeons & Dragons Online®;25/06/2012;Standing Stone Games, LLC;Standing Stone Games, LLC;"windows;mac";MMO;"Action;Adventure;Free to Play;Massively Multiplayer;RPG";1718;696;557;804;500000-1000000;500000;1000000;0.0
206500;AirMech Strike;30/03/2018;Carbon Games;Carbon Games;windows;"Single-player;Multi-player;Online Multi-Player;Co-op;Online Co-op;Steam Achievements;Steam Trading Cards;In-App Purchases;Partial Controller Support;Stats;Steam Leaderboards";"Action;Free to Play;Indie;Strategy";7640;1440;441;172;1000000-2000000;1000000;2000000;0.0
206610;3SwitcheD;29/03/2012;Reality Pump;Topware Interactive;"windows;mac";"Single-player;Steam Trading Cards;Steam Cloud";"Casual;Indie";117;196;260;259;200000-500000;200000;500000;6.99
206690;iBomber Defense Pacific;01/03/2012;Cobra Mobile;Cobra Mobile;"windows;mac;linux";Single-player;"Casual;Indie;Strategy";421;84;82;108;200000-500000;200000;500000;2.99
207000;Alien Spidy;20/03/2013;Enigma SP;Kalypso Media Digital;"windows;mac";"Single-player;Steam Achievements;Full controller support;Steam Cloud;Steam Leaderboards";"Action;Adventure;Indie";82;54;0;0;20000-50000;20000;50000;7.99
207020;Bang Bang Racing;08/06/2012;Digital Reality Software & Playbox;HandyGames;windows;"Single-player;Multi-player;Steam Achievements;Partial Controller Support;Steam Cloud;Steam Leaderboards";Racing;317;82;0;0;50000-100000;50000;100000;7.99
207080;Indie Game: The Movie;12/06/2012;BlinkWorks Media;BlinkWorks Media;"windows;mac";"Single-player;Steam Achievements;Steam Trading Cards;Captions available;Commentary available";Indie;1536;126;218;249;200000-500000;200000;500000;6.99
207140;SpeedRunners;19/04/2016;DoubleDutch Games;tinyBuild;"windows;mac;linux";"Single-player;Online Multi-Player;Local Multi-Player;Shared/Split Screen;Cross-Platform Multiplayer;Steam Achievements;Full controller support;Steam Trading Cards;Steam Workshop;Steam Cloud;Stats;Includes level editor";"Action;Casual;Indie;Racing;Sports";20854;1455;421;320;1000000-2000000;1000000;2000000;10.99
207170;Legend of Grimrock;11/04/2012;Almost Human Games;Almost Human Games;"windows;mac;linux";"Single-player;Steam Achievements;Steam Workshop;Includes level editor";"Adventure;Indie;RPG";4420;268;314;362;500000-1000000;500000;1000000;10.99
207190;Fireburst;25/04/2012;exDream;Strategy First;windows;"Single-player;Multi-player";"Action;Adventure;Racing";72;69;0;0;20000-50000;20000;50000;6.99
207230;ArcheBlade™;25/04/2014;CodeBrush Games;Codebrush Games;windows;"Multi-player;Co-op;Steam Achievements;Steam Trading Cards;Steam Cloud;Stats;Steam Leaderboards";"Action;Free to Play;Indie";5642;2086;640;101;2000000-5000000;2000000;5000000;0.0
207250;Cubemen;16/03/2012;3 Sprockets;3 Sprockets ;"windows;mac;linux";"Single-player;Multi-player;Cross-Platform Multiplayer;Steam Achievements;Steam Cloud;Steam Leaderboards";"Indie;Strategy";347;134;70;111;100000-200000;100000;200000;2.79
207320;Ys: The Oath in Felghana;19/03/2012;Nihon Falcom;XSEED Games;windows;"Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud;Steam Leaderboards";"Action;Adventure;RPG";936;57;635;635;100000-200000;100000;200000;9.99
207350;Ys Origin;31/05/2012;Nihon Falcom;XSEED Games;windows;"Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud;Steam Leaderboards";"Action;Adventure;RPG";1811;91;826;1234;200000-500000;200000;500000;12.99
207370;eXceed - Gun Bullet Children;02/08/2012;Flat Software;Nyu Media;windows;"Single-player;Steam Trading Cards";"Action;Indie";204;215;97;108;50000-100000;50000;100000;1.99
207380;eXceed 2nd - Vampire REX;02/08/2012;Tennen-sozai;Nyu Media;windows;"Single-player;Steam Trading Cards";Action;193;29;147;171;50000-100000;50000;100000;4.79
207400;eXceed 3rd - Jade Penetrate Black Package;02/08/2012;Tennen-sozai;Nyu Media;windows;"Single-player;Steam Trading Cards";Action;489;41;127;141;50000-100000;50000;100000;4.79
207420;Wizorb;14/03/2012;Tribute Games Inc.;Tribute Games Inc.;"windows;mac;linux";"Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards";"Action;Adventure;Indie";538;224;504;504;200000-500000;200000;500000;1.99
207430;Hack, Slash, Loot;05/04/2012;David Williamson;David Williamson;"windows;mac";"Single-player;Steam Achievements;Steam Trading Cards";"Casual;Indie;RPG";337;332;133;139;100000-200000;100000;200000;4.99
207490;Rayman® Origins;29/03/2012;"UBIart Montpellier;Feral Interactive (Mac)";"Ubisoft;Feral Interactive (Mac)";windows;"Single-player;Shared/Split Screen;Full controller support";"Action;Adventure";1509;114;266;497;200000-500000;200000;500000;8.59
207530;Noitu Love 2: Devolution;23/04/2012;Joakim Sandberg;Joakim Sandberg;windows;"Single-player;Steam Trading Cards;Steam Cloud";"Action;Indie";469;28;219;219;50000-100000;50000;100000;3.99
207570;English Country Tune;09/08/2012;increpare games;increpare games;"windows;mac;linux";"Single-player;Steam Cloud";"Indie;Casual";278;61;3;3;200000-500000;200000;500000;3.99
207650;A Virus Named TOM;01/08/2012;Misfits Attic;Misfits Attic;"windows;mac;linux";"Single-player;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards";"Action;Indie;Strategy";379;305;92;97;200000-500000;200000;500000;6.99
207670;AVSEQ;23/08/2012;Big Robot Ltd;Big Robot Ltd;"windows;mac";"Single-player;Steam Achievements";"Indie;Casual";28;34;0;0;20000-50000;20000;50000;1.59
